PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
EMMERSON (LOUIS),104,TENNIS COURT,OUTDOOR,1162973.3759699999,1941313.78571,"{'latitude': '41.994615', 'longitude': '-87.675866', 'needs_recoding': False}"
ERHLER (WILLIAM),283,PLAYGROUND,OUTDOOR,1161041.5638900001,1912772.2945600001,"{'latitude': '41.916336', 'longitude': '-87.683768', 'needs_recoding': False}"
ESSEX,434,PLAYGROUND PARK,OUTDOOR,1187074.0935200001,1854233.4287,"{'latitude': '41.755121', 'longitude': '-87.589988', 'needs_recoding': False}"
EUCLID,66,BASKETBALL COURT,OUTDOOR,1174126.48621,1840039.7080699999,"{'latitude': '41.716469', 'longitude': '-87.637858', 'needs_recoding': False}"
EUCLID,66,BASKETBALL COURT,OUTDOOR,1174128.95832,1839965.54024,"{'latitude': '41.716266', 'longitude': '-87.637851', 'needs_recoding': False}"
EUCLID,66,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1174180.909,1840339.0726300001,"{'latitude': '41.71729', 'longitude': '-87.63765', 'needs_recoding': False}"
EUCLID,66,BASEBALL JR/SOFTBALL,OUTDOOR,1174100.52727,1840159.6126900001,"{'latitude': '41.716799', 'longitude': '-87.637949', 'needs_recoding': False}"
EUCLID,66,BASEBALL JR/SOFTBALL,OUTDOOR,1174262.46068,1840487.1874899999,"{'latitude': '41.717694', 'longitude': '-87.637347', 'needs_recoding': False}"
EUCLID,66,PLAYGROUND,OUTDOOR,1174263.6965699999,1840003.8603699999,"{'latitude': '41.716368', 'longitude': '-87.637356', 'needs_recoding': False}"
EUCLID,66,SPRAY FEATURE,OUTDOOR,1174161.09769,1839892.6086299999,"{'latitude': '41.716065', 'longitude': '-87.637735', 'needs_recoding': False}"
EUCLID,66,TENNIS COURT,OUTDOOR,1174107.9442499999,1839791.24597,"{'latitude': '41.715788', 'longitude': '-87.637933', 'needs_recoding': False}"
EUCLID,66,TENNIS COURT,OUTDOOR,1174153.6810399999,1839791.24597,"{'latitude': '41.715787', 'longitude': '-87.637766', 'needs_recoding': False}"
EVERGREEN,1276,PLAYGROUND PARK,OUTDOOR,1171336.3362799999,1921396.7517200001,"{'latitude': '41.939782', 'longitude': '-87.645692', 'needs_recoding': False}"
FARGO (JAMES) BEACH,1253,BEACH,OUTDOOR,1166396.3583,1949527.6990700001,"{'latitude': '42.017081', 'longitude': '-87.663039', 'needs_recoding': False}"
FELLGER (CHARLES),1100,PLAYGROUND PARK,OUTDOOR,1162243.4771700001,1921346.9483399999,"{'latitude': '41.939841', 'longitude': '-87.679112', 'needs_recoding': False}"
FERNWOOD,65,BASKETBALL COURT,OUTDOOR,1173664.27749,1835534.92181,"{'latitude': '41.704118', 'longitude': '-87.639684', 'needs_recoding': False}"
FERNWOOD,65,BASKETBALL COURT,OUTDOOR,1173663.1324799999,1835465.08632,"{'latitude': '41.703926', 'longitude': '-87.63969', 'needs_recoding': False}"
FERNWOOD,65,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1173719.8534899999,1835257.54244,"{'latitude': '41.703355', 'longitude': '-87.639488', 'needs_recoding': False}"
FERNWOOD,65,FITNESS CENTER,INDOOR,1173934.94099,1835611.46955,"{'latitude': '41.704322', 'longitude': '-87.63869', 'needs_recoding': False}"
FERNWOOD,65,GYMNASIUM,INDOOR,1173986.1525000001,1835611.46955,"{'latitude': '41.704321', 'longitude': '-87.638503', 'needs_recoding': False}"
FERNWOOD,65,POOL (INDOOR),INDOOR,1173962.2539299999,1835481.73425,"{'latitude': '41.703965', 'longitude': '-87.638594', 'needs_recoding': False}"
